Year,State,Key,Region name,Active participants
2019,VIC,211,Melbourne - Outer East,8163
2019,VIC,212,Melbourne - South East,9935
2019,VIC,213,Melbourne - West,10322
2019,VIC,214,Mornington Peninsula,4539
2019,VIC,215,North West,2643
2019,VIC,216,Shepparton,2300
2019,VIC,217,Warrnambool and South West,2498
2019,WA,501,Bunbury,2267
2019,WA,502,Mandurah,1260
2019,WA,503,Perth - Inner,758
2019,WA,504,Perth - North East,4228
2019,WA,505,Perth - North West,3824
2019,WA,506,Perth - South East,4444
2019,WA,507,Perth - South West,4825
2019,WA,509,Western Australia - Wheat Belt,1044
2019,WA,510,Western Australia - Outback (North),831
2019,WA,511,Western Australia - Outback (South),719
